epoch,mse
1.000000000000000000e+00,3.672182559967041016e-01
5.000000000000000000e+02,3.112147748470306396e-01
1.000000000000000000e+03,3.084622919559478760e-01
1.500000000000000000e+03,3.073221147060394287e-01
2.000000000000000000e+03,3.021698594093322754e-01
2.500000000000000000e+03,2.487715482711791992e-01
3.000000000000000000e+03,1.762077361345291138e-01
3.500000000000000000e+03,1.295341700315475464e-01
4.000000000000000000e+03,9.865571558475494385e-02
4.500000000000000000e+03,8.189310133457183838e-02
5.000000000000000000e+03,7.334611564874649048e-02
5.500000000000000000e+03,6.735936552286148071e-02
6.000000000000000000e+03,6.223742663860321045e-02
6.500000000000000000e+03,5.865317583084106445e-02
7.000000000000000000e+03,5.567988753318786621e-02
7.500000000000000000e+03,5.385772138833999634e-02
8.000000000000000000e+03,5.161801725625991821e-02
8.500000000000000000e+03,5.049628764390945435e-02
9.000000000000000000e+03,4.982332885265350342e-02
9.500000000000000000e+03,4.911747947335243225e-02
1.000000000000000000e+04,4.870274290442466736e-02
1.050000000000000000e+04,4.836752638220787048e-02
1.100000000000000000e+04,4.692135006189346313e-02
1.150000000000000000e+04,4.786574468016624451e-02
1.200000000000000000e+04,4.967927560210227966e-02
1.250000000000000000e+04,4.560762643814086914e-02
1.300000000000000000e+04,4.478298872709274292e-02
1.350000000000000000e+04,4.571830108761787415e-02
1.400000000000000000e+04,4.459589719772338867e-02
1.450000000000000000e+04,4.442743957042694092e-02
1.500000000000000000e+04,4.410491883754730225e-02
1.550000000000000000e+04,4.384485632181167603e-02
1.600000000000000000e+04,4.312068223953247070e-02
1.650000000000000000e+04,4.290169104933738708e-02
1.700000000000000000e+04,4.288490489125251770e-02
1.750000000000000000e+04,4.361908510327339172e-02
1.800000000000000000e+04,4.339409619569778442e-02
1.850000000000000000e+04,4.183807596564292908e-02
1.900000000000000000e+04,4.112313315272331238e-02
1.950000000000000000e+04,4.067089781165122986e-02
2.000000000000000000e+04,4.098738729953765869e-02
2.050000000000000000e+04,4.061609134078025818e-02
2.100000000000000000e+04,4.041393846273422241e-02
2.150000000000000000e+04,4.094067960977554321e-02
2.200000000000000000e+04,4.081966355443000793e-02
2.250000000000000000e+04,4.023937135934829712e-02
2.300000000000000000e+04,4.024882987141609192e-02
2.350000000000000000e+04,4.013197124004364014e-02
2.400000000000000000e+04,4.015002027153968811e-02
2.450000000000000000e+04,3.980809077620506287e-02
2.500000000000000000e+04,4.022259637713432312e-02
2.550000000000000000e+04,3.987655788660049438e-02
2.600000000000000000e+04,4.015494510531425476e-02
2.650000000000000000e+04,3.979395329952239990e-02
2.700000000000000000e+04,4.020686820149421692e-02
2.750000000000000000e+04,3.959688171744346619e-02
2.800000000000000000e+04,3.964499384164810181e-02
2.850000000000000000e+04,3.963490948081016541e-02
2.900000000000000000e+04,3.956636041402816772e-02
2.950000000000000000e+04,3.928032517433166504e-02
3.000000000000000000e+04,3.939867764711380005e-02
3.050000000000000000e+04,3.939267247915267944e-02
3.100000000000000000e+04,3.949493169784545898e-02
3.150000000000000000e+04,3.949483111500740051e-02
3.200000000000000000e+04,3.942007943987846375e-02
3.250000000000000000e+04,3.955644369125366211e-02
3.300000000000000000e+04,3.920496255159378052e-02
3.350000000000000000e+04,3.929744288325309753e-02
3.400000000000000000e+04,3.954541683197021484e-02
3.450000000000000000e+04,3.931571170687675476e-02
3.500000000000000000e+04,3.950048983097076416e-02
3.550000000000000000e+04,3.967164829373359680e-02
3.600000000000000000e+04,3.925539180636405945e-02
3.650000000000000000e+04,3.951424732804298401e-02
3.700000000000000000e+04,3.942356258630752563e-02
3.750000000000000000e+04,3.961853310465812683e-02
3.800000000000000000e+04,3.951971977949142456e-02
3.850000000000000000e+04,3.952309116721153259e-02
3.900000000000000000e+04,3.961078077554702759e-02
3.950000000000000000e+04,3.957590833306312561e-02
4.000000000000000000e+04,3.941929340362548828e-02
4.050000000000000000e+04,3.952351957559585571e-02
4.100000000000000000e+04,3.937526419758796692e-02
4.150000000000000000e+04,3.931093215942382812e-02
4.200000000000000000e+04,3.929919749498367310e-02
4.250000000000000000e+04,3.942769765853881836e-02
4.300000000000000000e+04,3.947820514440536499e-02
4.350000000000000000e+04,3.948856145143508911e-02
4.400000000000000000e+04,3.947611525654792786e-02
4.450000000000000000e+04,3.920120373368263245e-02
4.500000000000000000e+04,3.937949985265731812e-02
4.550000000000000000e+04,3.938483074307441711e-02
4.600000000000000000e+04,3.963520377874374390e-02
4.650000000000000000e+04,3.955445066094398499e-02
4.700000000000000000e+04,3.940327838063240051e-02
4.750000000000000000e+04,3.953843563795089722e-02
4.800000000000000000e+04,3.967546671628952026e-02
4.850000000000000000e+04,3.928491845726966858e-02
4.900000000000000000e+04,3.945686295628547668e-02
4.950000000000000000e+04,3.932894766330718994e-02
5.000000000000000000e+04,3.970311209559440613e-02
5.050000000000000000e+04,3.945764899253845215e-02
5.100000000000000000e+04,3.923110663890838623e-02
5.150000000000000000e+04,3.944168239831924438e-02
5.200000000000000000e+04,3.969583287835121155e-02
5.250000000000000000e+04,3.941755741834640503e-02
5.300000000000000000e+04,3.923073038458824158e-02
5.350000000000000000e+04,3.942201659083366394e-02
5.400000000000000000e+04,3.946018591523170471e-02
5.450000000000000000e+04,3.910646587610244751e-02
5.500000000000000000e+04,3.922995552420616150e-02
5.550000000000000000e+04,3.930800408124923706e-02
5.600000000000000000e+04,3.945720195770263672e-02
5.650000000000000000e+04,3.947730734944343567e-02
5.700000000000000000e+04,3.938312083482742310e-02
5.750000000000000000e+04,3.915523365139961243e-02
5.800000000000000000e+04,3.947930037975311279e-02
5.850000000000000000e+04,3.971346095204353333e-02
5.900000000000000000e+04,3.962147980928421021e-02
5.950000000000000000e+04,3.921790421009063721e-02
6.000000000000000000e+04,3.936203569173812866e-02
