epoch,mse
1.000000000000000000e+00,1.441070914268493652e+00
5.000000000000000000e+02,7.152460217475891113e-01
1.000000000000000000e+03,6.920397281646728516e-01
1.500000000000000000e+03,6.828671693801879883e-01
2.000000000000000000e+03,6.634430885314941406e-01
2.500000000000000000e+03,5.853717327117919922e-01
3.000000000000000000e+03,4.541173279285430908e-01
3.500000000000000000e+03,3.023602962493896484e-01
4.000000000000000000e+03,2.512539029121398926e-01
4.500000000000000000e+03,2.181685864925384521e-01
5.000000000000000000e+03,1.819282174110412598e-01
5.500000000000000000e+03,1.567356139421463013e-01
6.000000000000000000e+03,1.407069265842437744e-01
6.500000000000000000e+03,1.305554211139678955e-01
7.000000000000000000e+03,1.192217245697975159e-01
7.500000000000000000e+03,1.105589568614959717e-01
8.000000000000000000e+03,1.035374626517295837e-01
8.500000000000000000e+03,9.684289246797561646e-02
9.000000000000000000e+03,9.131126850843429565e-02
9.500000000000000000e+03,8.520149439573287964e-02
1.000000000000000000e+04,8.211120963096618652e-02
1.050000000000000000e+04,7.867677509784698486e-02
1.100000000000000000e+04,7.369294017553329468e-02
1.150000000000000000e+04,7.298494875431060791e-02
1.200000000000000000e+04,7.002826035022735596e-02
1.250000000000000000e+04,6.738010793924331665e-02
1.300000000000000000e+04,6.622987985610961914e-02
1.350000000000000000e+04,6.408245861530303955e-02
1.400000000000000000e+04,6.454133242368698120e-02
1.450000000000000000e+04,6.209653243422508240e-02
1.500000000000000000e+04,6.266433745622634888e-02
1.550000000000000000e+04,5.840899795293807983e-02
1.600000000000000000e+04,5.899944156408309937e-02
1.650000000000000000e+04,5.745251476764678955e-02
1.700000000000000000e+04,5.605509504675865173e-02
1.750000000000000000e+04,5.546764656901359558e-02
1.800000000000000000e+04,5.789365246891975403e-02
1.850000000000000000e+04,5.422200635075569153e-02
1.900000000000000000e+04,5.228183791041374207e-02
1.950000000000000000e+04,5.533912405371665955e-02
2.000000000000000000e+04,5.315410345792770386e-02
2.050000000000000000e+04,5.137746781110763550e-02
2.100000000000000000e+04,4.900904372334480286e-02
2.150000000000000000e+04,4.725846648216247559e-02
2.200000000000000000e+04,5.279607698321342468e-02
2.250000000000000000e+04,4.628316313028335571e-02
2.300000000000000000e+04,4.685772582888603210e-02
2.350000000000000000e+04,4.477634280920028687e-02
2.400000000000000000e+04,4.416565969586372375e-02
2.450000000000000000e+04,4.287132248282432556e-02
2.500000000000000000e+04,4.372880980372428894e-02
2.550000000000000000e+04,4.150936380028724670e-02
2.600000000000000000e+04,4.243531078100204468e-02
2.650000000000000000e+04,4.031169414520263672e-02
2.700000000000000000e+04,3.875065222382545471e-02
2.750000000000000000e+04,3.834846243262290955e-02
2.800000000000000000e+04,3.739910945296287537e-02
2.850000000000000000e+04,3.834403306245803833e-02
2.900000000000000000e+04,3.826248273253440857e-02
2.950000000000000000e+04,3.757200017571449280e-02
3.000000000000000000e+04,3.585372865200042725e-02
3.050000000000000000e+04,3.624681383371353149e-02
3.100000000000000000e+04,3.248838335275650024e-02
3.150000000000000000e+04,3.339667245745658875e-02
3.200000000000000000e+04,3.123603574931621552e-02
3.250000000000000000e+04,3.173280879855155945e-02
3.300000000000000000e+04,3.140410780906677246e-02
3.350000000000000000e+04,3.101702034473419189e-02
3.400000000000000000e+04,2.921535447239875793e-02
3.450000000000000000e+04,2.937634661793708801e-02
3.500000000000000000e+04,2.849839441478252411e-02
3.550000000000000000e+04,2.804919704794883728e-02
3.600000000000000000e+04,2.670605480670928955e-02
3.650000000000000000e+04,2.682947553694248199e-02
3.700000000000000000e+04,2.667458169162273407e-02
3.750000000000000000e+04,2.630368806421756744e-02
3.800000000000000000e+04,2.856579422950744629e-02
3.850000000000000000e+04,2.487109601497650146e-02
3.900000000000000000e+04,2.474711090326309204e-02
3.950000000000000000e+04,2.460816502571105957e-02
4.000000000000000000e+04,2.465721592307090759e-02
4.050000000000000000e+04,2.429848536849021912e-02
4.100000000000000000e+04,2.318169549107551575e-02
4.150000000000000000e+04,2.373086474835872650e-02
4.200000000000000000e+04,2.306242659687995911e-02
4.250000000000000000e+04,2.137031964957714081e-02
4.300000000000000000e+04,2.323103882372379303e-02
4.350000000000000000e+04,2.111205086112022400e-02
4.400000000000000000e+04,2.193561755120754242e-02
4.450000000000000000e+04,2.076336555182933807e-02
4.500000000000000000e+04,2.073404937982559204e-02
4.550000000000000000e+04,2.149314060807228088e-02
4.600000000000000000e+04,2.111060172319412231e-02
4.650000000000000000e+04,2.015566825866699219e-02
4.700000000000000000e+04,2.033564820885658264e-02
4.750000000000000000e+04,1.964007504284381866e-02
4.800000000000000000e+04,1.916921511292457581e-02
4.850000000000000000e+04,1.969047822058200836e-02
4.900000000000000000e+04,2.083498612046241760e-02
4.950000000000000000e+04,1.936579309403896332e-02
5.000000000000000000e+04,1.805199123919010162e-02
