episode,q_loss,actor_loss,mean_return
1,18.549897,-0.281280,-31.274500
2,20.685386,-0.255562,-35.180679
3,21.081413,-0.230137,-36.741852
4,19.517535,-0.205440,-33.459229
5,20.566132,-0.181121,-33.855251
6,21.474489,-0.156630,-37.448734
7,20.635557,-0.132272,-35.088753
8,20.970033,-0.108085,-36.003597
9,21.776233,-0.083849,-34.053844
10,20.019158,-0.059736,-32.376118
11,19.161090,-0.035568,-35.563946
12,21.435957,-0.011491,-38.306801
13,20.706568,0.012718,-33.933956
14,19.828613,0.037172,-37.559071
15,19.400840,0.061752,-34.180599
16,20.614659,0.086856,-34.727448
17,19.709729,0.112344,-36.486416
18,21.862909,0.139436,-36.896442
19,18.897019,0.166384,-37.865719
20,18.978740,0.194986,-37.386440
21,18.082655,0.223748,-33.704865
22,18.334346,0.253363,-38.934170
23,17.910137,0.283510,-35.960682
24,18.609574,0.314998,-37.435932
25,21.713129,0.350588,-37.572182
26,18.160346,0.386842,-37.469238
27,20.055550,0.427162,-38.939781
28,18.701475,0.468270,-37.694790
29,21.057277,0.514749,-39.777874
30,15.494265,0.559203,-37.190769
31,20.948148,0.611285,-38.178101
32,18.820493,0.662775,-36.221157
33,19.297465,0.719677,-37.487926
34,18.721139,0.779676,-37.469006
35,20.213101,0.845453,-43.124191
36,19.637179,0.912116,-37.228283
37,20.420121,0.985680,-34.754005
38,20.882910,1.062820,-38.665260
39,15.849894,1.134460,-34.961956
40,17.463012,1.213124,-37.377575
41,18.292448,1.294425,-38.072842
42,16.321636,1.377737,-39.215431
43,16.306039,1.467742,-40.488220
44,15.137299,1.553791,-42.107334
45,15.305015,1.645618,-41.951801
46,15.563945,1.738644,-42.799671
47,15.840603,1.839177,-38.450993
48,14.898671,1.944932,-39.498341
49,14.579758,2.044900,-40.959534
50,14.005123,2.155699,-41.886261
51,15.698323,2.270441,-44.150677
52,13.175406,2.386364,-42.640347
53,13.601666,2.508766,-42.015797
54,13.204541,2.624638,-41.378387
55,12.136587,2.746151,-44.955761
56,12.103663,2.862679,-39.411907
57,13.174984,2.987625,-43.924141
58,10.738151,3.106165,-44.662701
59,13.399225,3.236877,-42.005718
60,12.423959,3.387998,-45.525906
61,13.091615,3.536956,-42.142494
62,13.114914,3.688205,-44.982895
63,13.420995,3.852762,-45.731468
64,11.898594,4.028593,-43.287941
65,12.509622,4.191251,-44.994789
66,11.742417,4.374060,-46.419514
67,12.183808,4.546004,-47.053333
68,11.635683,4.746255,-45.043293
69,10.263905,4.945416,-50.840611
70,10.054747,5.115333,-45.217113
71,11.516230,5.298705,-44.501537
72,10.910823,5.501681,-51.091148
73,9.954314,5.665133,-47.690582
74,10.230435,5.819341,-44.711620
75,10.761057,5.993397,-47.142288
76,11.368339,6.193805,-49.726807
77,9.752206,6.385640,-49.627354
78,9.717094,6.571727,-50.142910
79,8.468853,6.739447,-46.987915
80,10.457704,6.954741,-51.753925
81,8.681811,7.138964,-50.827393
82,9.154827,7.320902,-50.163910
83,11.087073,7.544617,-53.028931
84,9.922261,7.775983,-53.069721
85,10.142695,8.035418,-53.405102
86,9.861995,8.278494,-52.346413
87,8.776605,8.559252,-51.130451
88,9.291089,8.755400,-53.475491
89,9.128980,8.957380,-51.630066
90,9.881567,9.183863,-50.675060
91,9.284801,9.477979,-56.137756
92,10.159221,9.610035,-52.093395
93,8.438773,9.853631,-55.580349
94,8.838509,10.054769,-54.155640
95,8.909869,10.407169,-52.711769
96,8.135465,10.477649,-52.060524
97,9.288942,10.603470,-52.577198
98,8.751508,10.743013,-57.483234
99,10.064424,10.907200,-53.919262
100,10.051844,11.228900,-54.648525
101,8.972165,11.351956,-55.809315
102,8.649273,11.501728,-58.229198
103,10.847877,11.806416,-59.888561
104,9.577086,11.892087,-53.615124
105,9.623744,12.109124,-55.495632
106,10.221257,12.412972,-54.700813
107,11.354295,12.399630,-59.418365
108,9.609492,12.851287,-56.934570
109,10.261349,13.209068,-55.580547
110,10.081731,13.458775,-56.027962
111,9.455085,13.561355,-58.319630
112,9.988479,13.777988,-60.899220
113,11.502456,13.834008,-59.512695
114,10.771603,13.944656,-57.324879
115,13.331049,14.322532,-60.974697
116,12.069044,14.572144,-57.384846
117,12.819018,14.943351,-55.867077
118,12.559393,15.161522,-57.888660
119,11.519018,15.055500,-58.866718
120,12.850644,15.449005,-57.469967
121,13.180725,15.700767,-58.743530
122,13.704490,16.000560,-59.707630
123,14.845425,16.499071,-56.718464
124,13.516448,16.469277,-56.858486
125,13.730151,16.511803,-55.889843
126,15.203268,16.586597,-57.104347
127,15.779237,16.900533,-54.415924
128,16.013539,17.061225,-59.188549
129,18.744759,17.381145,-56.721863
130,14.928800,17.383312,-59.662544
131,20.281949,17.876783,-53.017811
132,17.204507,17.937413,-58.956219
133,18.478501,18.138652,-58.885120
134,18.761085,18.327214,-62.519802
135,19.179348,18.544996,-56.569912
136,20.693585,18.776863,-58.261150
137,16.091531,18.735499,-61.941772
138,21.819824,19.304945,-57.279621
139,23.682792,19.395264,-59.844753
140,21.421678,19.404078,-58.238403
141,23.312524,19.384903,-58.046589
142,26.918604,19.559848,-57.198170
143,25.906016,19.462321,-53.941772
144,26.970257,19.703849,-57.354004
145,24.323894,19.816702,-53.808979
146,28.151657,20.170951,-58.936287
147,25.366358,20.156915,-56.198536
148,27.153502,20.483662,-53.649513
149,32.980683,20.817848,-57.269508
150,31.221391,20.829849,-56.940670
151,32.929646,20.842035,-52.788990
152,29.325274,20.836813,-53.165047
153,32.077962,21.064086,-57.291237
154,29.268475,21.101307,-54.159512
155,30.544395,21.708444,-52.281189
156,34.224839,21.898604,-58.057484
157,36.007919,22.227993,-57.214142
158,32.142298,22.121374,-54.314480
159,34.831807,22.097921,-52.328430
160,32.123693,22.306688,-53.005383
161,31.044465,22.413939,-51.620399
