epoch,mse
1.000000000000000000e+00,5.666181445121765137e-02
2.000000000000000000e+00,1.441795285791158676e-02
3.000000000000000000e+00,1.242151204496622086e-02
4.000000000000000000e+00,1.180377416312694550e-02
5.000000000000000000e+00,6.631283089518547058e-03
6.000000000000000000e+00,5.320260301232337952e-03
7.000000000000000000e+00,4.787040874361991882e-03
8.000000000000000000e+00,4.544495139271020889e-03
9.000000000000000000e+00,4.004289861768484116e-03
1.000000000000000000e+01,3.660191781818866730e-03
1.100000000000000000e+01,3.473216202110052109e-03
1.200000000000000000e+01,3.437200328335165977e-03
1.300000000000000000e+01,3.227457636967301369e-03
1.400000000000000000e+01,3.092335304245352745e-03
1.500000000000000000e+01,2.964980667456984520e-03
1.600000000000000000e+01,3.117060521617531776e-03
1.700000000000000000e+01,2.853090409189462662e-03
1.800000000000000000e+01,2.823965856805443764e-03
1.900000000000000000e+01,2.611844800412654877e-03
2.000000000000000000e+01,2.701780991628766060e-03
2.100000000000000000e+01,2.646850189194083214e-03
2.200000000000000000e+01,2.392017282545566559e-03
2.300000000000000000e+01,2.465647412464022636e-03
2.400000000000000000e+01,2.250134246423840523e-03
2.500000000000000000e+01,2.201551571488380432e-03
2.600000000000000000e+01,2.083256607875227928e-03
2.700000000000000000e+01,2.040450694039463997e-03
2.800000000000000000e+01,1.985053764656186104e-03
2.900000000000000000e+01,1.880133291706442833e-03
3.000000000000000000e+01,1.882748096249997616e-03
3.100000000000000000e+01,1.799958641640841961e-03
3.200000000000000000e+01,1.859330339357256889e-03
3.300000000000000000e+01,1.715653925202786922e-03
3.400000000000000000e+01,1.928393612615764141e-03
3.500000000000000000e+01,1.717234728857874870e-03
3.600000000000000000e+01,1.823269762098789215e-03
3.700000000000000000e+01,1.635421649552881718e-03
3.800000000000000000e+01,1.426569535396993160e-03
3.900000000000000000e+01,1.402793684974312782e-03
4.000000000000000000e+01,1.400972018018364906e-03
4.100000000000000000e+01,1.285417471081018448e-03
4.200000000000000000e+01,1.247512293048202991e-03
4.300000000000000000e+01,1.257358118891716003e-03
4.400000000000000000e+01,1.172288903035223484e-03
4.500000000000000000e+01,1.160949468612670898e-03
4.600000000000000000e+01,1.196430879645049572e-03
4.700000000000000000e+01,1.383706228807568550e-03
4.800000000000000000e+01,1.234427909366786480e-03
4.900000000000000000e+01,1.033127424307167530e-03
5.000000000000000000e+01,1.147055882029235363e-03
5.100000000000000000e+01,1.268467283807694912e-03
5.200000000000000000e+01,9.666790137998759747e-04
5.300000000000000000e+01,9.395916131325066090e-04
5.400000000000000000e+01,1.086428295820951462e-03
5.500000000000000000e+01,9.096396388486027718e-04
5.600000000000000000e+01,9.375830995850265026e-04
5.700000000000000000e+01,1.007535378448665142e-03
5.800000000000000000e+01,8.292225538752973080e-04
5.900000000000000000e+01,8.752742432989180088e-04
6.000000000000000000e+01,7.740822038613259792e-04
6.100000000000000000e+01,8.885232382453978062e-04
6.200000000000000000e+01,7.525281980633735657e-04
6.300000000000000000e+01,1.027963007800281048e-03
6.400000000000000000e+01,9.449074859730899334e-04
6.500000000000000000e+01,6.682245293632149696e-04
6.600000000000000000e+01,6.507725338451564312e-04
6.700000000000000000e+01,1.005916972644627094e-03
6.800000000000000000e+01,7.752629462629556656e-04
6.900000000000000000e+01,6.096306606195867062e-04
7.000000000000000000e+01,6.110260728746652603e-04
7.100000000000000000e+01,5.954270600341260433e-04
7.200000000000000000e+01,6.610573618672788143e-04
7.300000000000000000e+01,5.928580067120492458e-04
7.400000000000000000e+01,5.753111327067017555e-04
7.500000000000000000e+01,5.565997562371194363e-04
7.600000000000000000e+01,5.650826497003436089e-04
7.700000000000000000e+01,5.310944397933781147e-04
7.800000000000000000e+01,5.620759329758584499e-04
7.900000000000000000e+01,5.452331388369202614e-04
8.000000000000000000e+01,5.445830756798386574e-04
8.100000000000000000e+01,5.317384493537247181e-04
8.200000000000000000e+01,5.436680512502789497e-04
8.300000000000000000e+01,5.101884598843753338e-04
8.400000000000000000e+01,5.265697836875915527e-04
8.500000000000000000e+01,4.961094236932694912e-04
8.600000000000000000e+01,5.028623854741454124e-04
8.700000000000000000e+01,5.316173192113637924e-04
8.800000000000000000e+01,4.891917342320084572e-04
8.900000000000000000e+01,4.906249232590198517e-04
9.000000000000000000e+01,4.995871568098664284e-04
9.100000000000000000e+01,4.944571992382407188e-04
9.200000000000000000e+01,4.883917281404137611e-04
9.300000000000000000e+01,4.879820917267352343e-04
9.400000000000000000e+01,4.830973048228770494e-04
9.500000000000000000e+01,4.893549485132098198e-04
9.600000000000000000e+01,4.794556298293173313e-04
9.700000000000000000e+01,4.842352936975657940e-04
9.800000000000000000e+01,4.831790574826300144e-04
9.900000000000000000e+01,4.793865082319825888e-04
1.000000000000000000e+02,4.880335181951522827e-04
1.010000000000000000e+02,4.907514667138457298e-04
