epoch,mse
1.000000000000000000e+00,5.642906948924064636e-02
2.000000000000000000e+00,1.157775800675153732e-02
3.000000000000000000e+00,1.099395845085382462e-02
4.000000000000000000e+00,8.283582516014575958e-03
5.000000000000000000e+00,5.926418118178844452e-03
6.000000000000000000e+00,4.426639527082443237e-03
7.000000000000000000e+00,3.730387194082140923e-03
8.000000000000000000e+00,3.354739397764205933e-03
9.000000000000000000e+00,3.085094736889004707e-03
1.000000000000000000e+01,2.880642889067530632e-03
1.100000000000000000e+01,2.719585085287690163e-03
1.200000000000000000e+01,2.605074085295200348e-03
1.300000000000000000e+01,2.497062785550951958e-03
1.400000000000000000e+01,2.410479588434100151e-03
1.500000000000000000e+01,2.324895001947879791e-03
1.600000000000000000e+01,2.268670825287699699e-03
1.700000000000000000e+01,2.207243349403142929e-03
1.800000000000000000e+01,2.173452638089656830e-03
1.900000000000000000e+01,2.136893803253769875e-03
2.000000000000000000e+01,2.106193220242857933e-03
2.100000000000000000e+01,2.084029838442802429e-03
2.200000000000000000e+01,2.068099565804004669e-03
2.300000000000000000e+01,2.035456011071801186e-03
2.400000000000000000e+01,2.020440064370632172e-03
2.500000000000000000e+01,1.992748584598302841e-03
2.600000000000000000e+01,1.987391849979758263e-03
2.700000000000000000e+01,1.960656838491559029e-03
2.800000000000000000e+01,1.980605302378535271e-03
2.900000000000000000e+01,1.947977929376065731e-03
3.000000000000000000e+01,1.956672407686710358e-03
3.100000000000000000e+01,1.939537236467003822e-03
3.200000000000000000e+01,1.938187167979776859e-03
3.300000000000000000e+01,1.937801600433886051e-03
3.400000000000000000e+01,1.937883906066417694e-03
3.500000000000000000e+01,1.950179110281169415e-03
3.600000000000000000e+01,1.939445501193404198e-03
3.700000000000000000e+01,1.936910091899335384e-03
3.800000000000000000e+01,1.933630323037505150e-03
3.900000000000000000e+01,1.936314161866903305e-03
4.000000000000000000e+01,1.941907336004078388e-03
4.100000000000000000e+01,1.940803718753159046e-03
4.200000000000000000e+01,1.939025474712252617e-03
4.300000000000000000e+01,1.940991613082587719e-03
4.400000000000000000e+01,1.936481683515012264e-03
4.500000000000000000e+01,1.935130683705210686e-03
4.600000000000000000e+01,1.944473013281822205e-03
4.700000000000000000e+01,1.942148664966225624e-03
4.800000000000000000e+01,1.930202939547598362e-03
4.900000000000000000e+01,1.942783710546791553e-03
5.000000000000000000e+01,1.939495210535824299e-03
5.100000000000000000e+01,1.941848313435912132e-03
5.200000000000000000e+01,1.940889633260667324e-03
5.300000000000000000e+01,1.943804789334535599e-03
5.400000000000000000e+01,1.946523552760481834e-03
5.500000000000000000e+01,1.926266239024698734e-03
5.600000000000000000e+01,1.937115332111716270e-03
5.700000000000000000e+01,1.935702865011990070e-03
5.800000000000000000e+01,1.939188339747488499e-03
5.900000000000000000e+01,1.932263374328613281e-03
6.000000000000000000e+01,1.942666363902390003e-03
6.100000000000000000e+01,1.942791976034641266e-03
6.200000000000000000e+01,1.936356071382761002e-03
6.300000000000000000e+01,1.931108883582055569e-03
6.400000000000000000e+01,1.939849462360143661e-03
6.500000000000000000e+01,1.941346214152872562e-03
6.600000000000000000e+01,1.935673062689602375e-03
6.700000000000000000e+01,1.938139437697827816e-03
6.800000000000000000e+01,1.933633699081838131e-03
6.900000000000000000e+01,1.934994361363351345e-03
7.000000000000000000e+01,1.941889757290482521e-03
7.100000000000000000e+01,1.943636219948530197e-03
7.200000000000000000e+01,1.932188170030713081e-03
7.300000000000000000e+01,1.945202238857746124e-03
7.400000000000000000e+01,1.946842297911643982e-03
7.500000000000000000e+01,1.940077403560280800e-03
7.600000000000000000e+01,1.943882089108228683e-03
7.700000000000000000e+01,1.932878047227859497e-03
7.800000000000000000e+01,1.941291848197579384e-03
7.900000000000000000e+01,1.946794916875660419e-03
8.000000000000000000e+01,1.934266765601933002e-03
8.100000000000000000e+01,1.931546488776803017e-03
8.200000000000000000e+01,1.941576367244124413e-03
8.300000000000000000e+01,1.941669499501585960e-03
8.400000000000000000e+01,1.938409404829144478e-03
8.500000000000000000e+01,1.930496655404567719e-03
8.600000000000000000e+01,1.934744417667388916e-03
8.700000000000000000e+01,1.936023123562335968e-03
8.800000000000000000e+01,1.935459207743406296e-03
8.900000000000000000e+01,1.938744680956006050e-03
9.000000000000000000e+01,1.933698309585452080e-03
9.100000000000000000e+01,1.943677896633744240e-03
9.200000000000000000e+01,1.946453703567385674e-03
9.300000000000000000e+01,1.936724409461021423e-03
9.400000000000000000e+01,1.943438081070780754e-03
9.500000000000000000e+01,1.932254293933510780e-03
9.600000000000000000e+01,1.934348256327211857e-03
9.700000000000000000e+01,1.947443583048880100e-03
9.800000000000000000e+01,1.936488435603678226e-03
9.900000000000000000e+01,1.938958303071558475e-03
1.000000000000000000e+02,1.938075292855501175e-03
1.010000000000000000e+02,1.940479152835905552e-03
